Year,Month,Region,Resource,Rate
2022,1,Trivandrum,Stone Aggregate(single size): 12.5 mm nominal size,2700.0
2022,1,Trivandrum,Stone Aggregate(single size): 10 mm nominal size,2900.0
2022,1,Trivandrum,Stone Aggregate(single size): 06 mm nominal size,3000.0
2022,1,Trivandrum,Safeda ballies 125 mm diameter,62.0
2022,1,Trivandrum,Cowdung,275.0
2022,1,Trivandrum,Bajiri,1429.0
2022,1,Trivandrum,Bamboo 25 mm dia 2.5 meter long,543.0
2022,1,Trivandrum,Bhusa,508.0
2022,1,Trivandrum,Bitumen grade PMB - 40,54405.0
2022,1,Trivandrum,Blown type petroleum bitumen of penetration 85/25 of approved quality,46100.0
2022,1,Trivandrum,Bitumen hot sealing compound : grade A,34.0
2022,1,Trivandrum,Bitumen solution primer of approved quality,60.0
2022,1,Trivandrum,Premoulded joing filler 12 mm thick,445.0
2022,1,Trivandrum,Bitumen felt fibre base (vegetable or animal): Type 2 grade 1,95.0
2022,1,Trivandrum,Bitumen felt as per IS 7193 Grade II,108.0
2022,1,Trivandrum,Bitumen felt : Type 3 grade 1,95.0
2022,1,Trivandrum,Separation Membrane of impermeable plastic sheeting 125 micron thick,17.0
2022,1,Trivandrum,Coal Tar,41.0
2022,1,Trivandrum,Blasting powder,54.0
2022,1,Trivandrum,Blasting fuse (fuse wire),21.0
2022,1,Trivandrum,White face insulating board : 12 mm thick,458.0
2022,1,Trivandrum,Natural colour insulating board : 12 mm thick,343.0
2022,1,Trivandrum,Flame retardant face insulating board : 12 mm thick,403.0
2022,1,Trivandrum,"Flame retardant face inslulating, impregnated fibre board 12 mm thick",445.0
2022,1,Trivandrum,"Flat pressed 3 layer particle board (medium density) Grade 1,12 mm thick",415.0
2022,1,Trivandrum,Extra for veneered particle board with : Teak veneering on one side and commercial veneering on other side,331.0
2022,1,Trivandrum,Extra for veneered particle board with Commercial veneering on both sides,216.0
2022,1,Trivandrum,Extra for veneered particle board with Teak veneering both sides,636.0
2022,1,Trivandrum,Curing compound,64.0
2022,1,Trivandrum,Integral cystalline slurry,347.0
2022,1,Trivandrum,Integral crystalline admixture,394.0
2022,1,Trivandrum,Crystalline mortar,318.0
2022,1,Trivandrum,Integral cystalline dry shake,525.0
2022,1,Trivandrum,Swellable type water stop tape,534.0
2022,1,Trivandrum,Primer for swellable type wate stop tape,2237.0
2022,1,Trivandrum,Polymer modified adhesive mortar,30.0
2022,1,Trivandrum,Brick bats,636.0
2022,1,Trivandrum,Wire brush,27.2
2022,1,Trivandrum,Soft brush,27.2
2022,1,Trivandrum,Portland Cement,8000.0
2022,1,Trivandrum,White cement,21000.0
2022,1,Trivandrum,"Plastic sheath,1.25 mm thick for dowel bars",38.0
2022,1,Trivandrum,Coal (steam),600.0
2022,1,Trivandrum,Sealant primer,161.0
2022,1,Trivandrum,Cramp Gun metal 25x6x300 mm,102.0
2022,1,Trivandrum,"Pre moulded joint filler, 25mm thick for expansion joint",637.0
2022,1,Trivandrum,Brass butt hinges (light /ordinary type):125x70x4 mm,1413.0
2022,1,Trivandrum,Brass butt hinges (light /ordinary type) : 100x70x4 mm,1230.0
2022,1,Trivandrum,Brass butt hinges (light /ordinary type) : 75x40x2.5 mm,637.0
2022,1,Trivandrum,Brass butt hinges (light /ordinary type) : 50x40x2.5 mm,237.0
2022,1,Trivandrum,Brass butt hinges (heavy type) :125x85x5.5 mm(0.70 kg),4237.0
2022,1,Trivandrum,Brass butt hinges (heavy type) : 100x85x5.5 mm (0.56kg),3758.0
2022,1,Trivandrum,Brass butt hinges (heavy type): 75x65x4.0 mm (0.20 kg),1299.0
2022,1,Trivandrum,Brass parliamentary hinges 150x125x27x5 mm,3895.0
2022,1,Trivandrum,Brass parliamentary hinges 125x125x27x5 mm,3416.0
2022,1,Trivandrum,Brass parliamentary hinges 100x125x27x5 mm,3143.0
2022,1,Trivandrum,Brass parliamentary hinges 75x100x20x3.2 mm,2392.0
2022,1,Trivandrum,Brass single acting spring hinges 150 mm,576.0
2022,1,Trivandrum,Brass single acting spring hinges 125 mm,387.0
2022,1,Trivandrum,Brass single acting spring hinges 100 mm,339.0
2022,1,Trivandrum,Brass double acting spring hinges 150 mm,684.0
2022,1,Trivandrum,Brass double acting spring hinges 125 mm,542.5
2022,1,Trivandrum,Brass double acting spring hinges 100 mm,438.0
2022,1,Trivandrum,Brass tower bolt (barrel type) 250x10 mm,348.5
2022,1,Trivandrum,Brass tower bolt (barrel type) 200x10 mm,278.0
2022,1,Trivandrum,Brass tower bolt (barrel type) 150 x 10 mm,209.0
2022,1,Trivandrum,Brass tower bolt (barrel type) 100 x 10 mm,139.6
2022,1,Trivandrum,Brass flush bolt 250 mm,205.0
2022,1,Trivandrum,Brass flush bolt 150 mm,177.0
2022,1,Trivandrum,Brass flush bolt 100 mm,123.0
2022,1,Trivandrum,Brass handles 125 mm with plate 175x32 mm,195.5
2022,1,Trivandrum,Brass handles 100 mm with plate 150x32 mm mm,180.0
2022,1,Trivandrum,Brass handles 75 mm with plate 125x32 mm,139.7
2022,1,Trivandrum,Brass door latch 300x16x5x mm (0.380 kg),251.0
2022,1,Trivandrum,Brass door latch 250x16x5 mm (0.350 kg),237.5
2022,1,Trivandrum,Brass mortice latch and lock 100 x 65 mm with6 levers and  a pair of brass lever handles,543.0
2022,1,Trivandrum,Brass mortice latch 100x65 mm with a pair of brass lever handles,438.0
2022,1,Trivandrum,Brass 150 mm floor door stopper (0.357 kg),232.0
2022,1,Trivandrum,Brass hard drawn hooks and eyes 300 mm,1024.0
2022,1,Trivandrum,Brass hard drawn hooks and eyes 250 mm,957.0
2022,1,Trivandrum,Brass hard drawn hooks and eyes 200 mm,884.0
2022,1,Trivandrum,Brass hard drawn hooks and eyes 150 mm,847.0
2022,1,Trivandrum,Brass hard drawn hooks and eyes 100 mm,719.0
2022,1,Trivandrum,Brass casement window fastener,69.0
2022,1,Trivandrum,Brass casement stays (straight peg type ) 300 mm weighing not less than 0.33 kg,187.0
2022,1,Trivandrum,Brass casement stays (straight peg type) 250 mm weighing not less than 0.28 kg,151.0
2022,1,Trivandrum,Brass casement stays (straight peg type) 200 mm weighing not less than 0.24 kg,137.0
2022,1,Trivandrum,Brass quadrant stays 300 mm,173.0
2022,1,Trivandrum,Brass fanlight catch,242.0
2022,1,Trivandrum,Brass fanlight pivot,269.0
2022,1,Trivandrum,Brass chain with hook for fan light catch,55.0
2022,1,Trivandrum,Brass hasps and staples (safety type ) 150 mm,1061.0
2022,1,Trivandrum,Brass hasps and staples (safety type) 115 mm,888.0
2022,1,Trivandrum,Brass hasps and staples (safety type) 90 mm,765.0
2022,1,Trivandrum,Brass Night latch,830.0
2022,1,Trivandrum,Brass helical spring 150 mm,424.0
2022,1,Trivandrum,Brass curtain rod 20 mm dia 1.25 mm thick,190.0
2022,1,Trivandrum,Brass curtain rod 25 mm dia 1.25 mm thick,258.0
2022,1,Trivandrum,Brass brackets (curtain rods) 20 mm,59.0
2022,1,Trivandrum,Brass cupboard knob or wardrobe knob 50 mm,51.0
2022,1,Trivandrum,brass screws 50 mm,298.5
2022,1,Trivandrum,Brass screws 40 mm,232.0
2022,1,Trivandrum,Brass screws 30 mm,190.0
2022,1,Trivandrum,Brass screws 25 mm,140.0
2022,1,Trivandrum,Brass screws 20 mm,129.0
2022,1,Trivandrum,"Stainless steel SS grade 304 , curtain rod 20 mm dia 1.20mm thick",170.0
2022,1,Trivandrum,"Stainless steel SS grade 304, curtain rod 25 mm dia 1.20mm thick",231.0
2022,1,Trivandrum,"Stainless steel SS grade 304, brackets ( curtain rod) 20 mm dia
1.20mm thick",63.0
2022,1,Trivandrum,"Stainless steel SS grade 304, brackets ( curtain rod) 25 mm dia
1.20mm thick",75.0
2022,1,Trivandrum,plastic sleeves for screw,2.7
2022,1,Trivandrum,Chromium plated Brass butt hinges (heavy) type 75x65x4 mm (200 gms),1366.0
2022,1,Trivandrum,Chromium plated Brass butt hinges (light/ordinary) type 125x70x4 mm,1162.0
2022,1,Trivandrum,Chromium plated Brass butt hinges (light/ordinary) type 100x70x4 mm,957.0
2022,1,Trivandrum,Chromium plated Brass butt hinges (light/ordinary) type 75x40x2.5 mm,629.0
2022,1,Trivandrum,Chromium plated Brass butt hinges (light/ordinary) type 50x40x2.5 mm,273.0
2022,1,Trivandrum,75 mm SS fancy handles for kitchen cabinet,415.0
2022,1,Trivandrum,100 mm SS Fancy handles for kitchen cabinet,688.0
2022,1,Trivandrum,125 mm SS fancy handles for kitchen cabinet,961.0
2022,1,Trivandrum,Chromium plated Brass handles 125 mm with plate 175x32 mm,242.0
2022,1,Trivandrum,Chromium plated Brass handles 100 mm with plate 150x32 mm,205.0
2022,1,Trivandrum,Chromium plated Brass handles 75 mm with plate 125x32 mm,177.0
2022,1,Trivandrum,Chromium plated Brass mortice latch and lock 100x65 mm with 6 levers and a pair of brass lever handles,640.0
2022,1,Trivandrum,Chromium plated brass casement window fastener,132.0
2022,1,Trivandrum,Chromium plated Brass casement stays (straight peg type) 300 mm weighing not less than 0.33 kg,205.0
2022,1,Trivandrum,Chromium plated Brass casement stays (straight peg type) 250 mm weighing not less than 0.28,177.0
2022,1,Trivandrum,Chromium plated Brass casement stays (straight peg type) 200 mm weighing not less than 0.24 kg,159.0
2022,1,Trivandrum,Chromium plated Brass Night latch,725.0
2022,1,Trivandrum,Chromium plated Brass Wardrobe Knob 50 mm,92.0
